id,interval,previous_send_intervals_same_node,average_previous_send_intervals_same_node,previous_sender,malicious
3,3687,51258,60525,13,0
4,6082,25977,60327,3,0
9,5524,19570,60096,4,0
5,1475,28695,59918,9,0
10,5007,54290,59887,5,0
6,1162,63414,59906,10,0
7,6784,38133,59785,6,0
8,6303,72851,59857,7,0
2,20367,76539,59949,8,0
11,2501,59852,59949,2,0
14,189,59882,59948,11,1
12,191,60195,59950,14,1
13,267,59539,59947,12,1
9,8918,53164,59911,13,0
7,5740,44476,59829,9,0
5,6362,63791,59850,7,0
6,10510,68132,59894,5,0
4,6145,87445,60038,6,0
2,5935,46758,59969,4,0
10,8133,89507,60122,2,0
3,3506,111101,60384,10,0
8,2057,80821,60489,3,0
11,1867,59820,60486,8,0
13,584,59757,60482,11,1
14,12,60227,60481,13,1
12,255,60291,60480,14,1
4,21190,43539,60395,12,0
8,5506,29414,60241,4,0
5,3306,69006,60284,8,0
2,2185,48601,60227,5,0
9,3590,86883,60357,2,0
6,2206,66477,60387,9,0
3,3313,46071,60318,6,0
10,2774,52351,60279,3,0
7,2509,91945,60432,10,0
14,12861,59695,60428,7,1
12,66,59506,60424,14,1
11,57,60414,60424,12,0
13,772,60602,60424,11,1
2,1423,29571,60280,13,0
4,1190,41758,60193,2,0
6,980,25945,60034,4,0
8,901,38133,59932,6,0
3,14131,37664,59830,8,0
10,15430,50320,59786,3,0
5,13464,77852,59869,10,0
7,764,62039,59878,5,0
9,1385,74226,59943,7,0
14,9228,59791,59943,9,1
11,465,60133,59944,14,0
12,162,60352,59945,11,1
13,47,59570,59944,12,1
2,1017,59164,59940,13,0
8,383,56476,59925,2,0
5,369,13820,59723,8,0
4,875,59601,59722,5,0
7,28327,42258,59646,4,0
10,428,56914,59634,7,0
6,663,88039,59757,10,0
3,376,73383,59815,6,0
9,356,42696,59742,3,0
11,26474,59477,59741,9,0
14,64,60006,59742,11,1
13,832,60164,59744,14,1
12,109,60320,59746,13,1
5,3910,62414,59758,12,0
6,4137,36258,59660,5,0
9,18264,53790,59635,6,0
4,631,84571,59738,9,0
10,3817,59633,59738,4,0
7,14041,74102,59797,10,0
2,826,104882,59981,7,0
8,3446,107945,60176,2,0
3,1819,78726,60251,8,0
14,8020,59852,60249,3,1
11,29,59945,60248,14,0
13,834,59883,60247,11,1
12,140,59914,60245,13,1
6,235,52102,60213,12,0
5,6894,63133,60224,6,0
8,8068,26039,60090,5,0
7,6759,37070,60000,8,0
2,7983,44227,59938,7,0
9,7464,71006,59981,2,0
4,7789,78164,60052,9,0
3,6980,61195,60056,4,0
10,6650,87977,60163,3,0
11,243,60039,60163,10,0
12,568,59633,60161,11,1
14,184,60820,60163,12,1
13,270,60227,60164,14,1
4,4988,19883,60012,13,0
3,13388,26291,59885,4,0
10,1804,21445,59741,3,0
9,12988,55852,59726,10,0
6,6050,99070,59873,9,0
8,6150,90258,59985,6,0
5,7150,105476,60153,8,0
7,6015,96664,60287,5,0
2,14,88695,60391,7,0
14,597,59414,60388,2,1
11,92,60258,60387,14,0
12,287,59977,60386,11,1
13,172,59695,60383,12,1
2,10643,11791,60208,13,0
3,1544,53506,60184,2,0
4,332,67226,60210,3,0
5,1250,20946,60070,4,0
6,418,34664,59980,5,0
7,1034,16383,59826,6,0
8,554,30102,59721,7,0
9,1518,43820,59665,8,0
10,28731,85539,59756,9,0
14,13558,60133,59757,10,1
11,61,60102,59758,14,0
13,148,59791,59758,11,1
12,482,60445,59761,13,1
5,535,47039,59717,12,0
7,8140,53727,59696,5,0
9,8759,60414,59699,7,0
3,2832,68352,59728,9,0
8,8306,73070,59774,3,0
2,2804,81006,59845,8,0
10,6133,51758,59818,2,0
4,2432,87695,59912,10,0
6,8356,94383,60027,4,0
11,11143,60070,60027,6,0
13,84,60006,60027,11,1
12,15,59539,60025,13,1
14,246,60476,60027,12,1
7,5085,56195,60014,14,0
6,3153,19726,59882,7,0
3,14563,62320,59890,6,0
2,2642,53852,59870,3,0
9,1339,69133,59900,2,0
8,2669,60664,59903,9,0
5,14557,103258,60043,8,0
4,2939,66791,60064,5,0
10,4379,73602,60108,4,0
11,7993,59664,60106,10,0
12,193,59758,60105,11,1
13,78,59851,60105,12,1
14,356,59946,60104,13,1
10,1950,10570,59948,14,0
3,17819,56914,59938,10,0
5,7394,43101,59885,3,0
2,4154,65820,59904,5,0
7,3112,89290,59996,2,0
4,4578,52006,59971,7,0
9,3306,75477,60019,4,0
6,4175,98196,60137,9,0
8,7400,84383,60211,6,0
11,5868,60383,60212,8,0
14,283,60039,60211,11,1
12,128,60601,60212,14,1
13,298,60821,60214,12,1
8,7150,13727,60073,13,0
3,7787,55633,60060,8,0
6,2376,31290,59973,3,0
7,9158,52507,59951,6,0
10,3178,88164,60035,7,0
2,3617,62414,60042,10,0
5,3502,70070,60072,2,0
9,12025,66945,60093,5,0
4,6601,76852,60142,9,0
14,3438,59258,60140,4,1
11,185,59726,60138,14,0
12,256,59571,60137,11,1
13,141,59414,60135,12,1
10,4118,33883,60058,13,0
7,6290,43351,60009,10,0
4,6392,20820,59896,7,0
8,11131,80195,59955,4,0
5,7088,57665,59948,8,0
2,5966,67133,59969,5,0
9,5433,57039,59960,2,0
6,5988,94507,60059,9,0
3,7094,103977,60184,6,0
14,19,60101,60184,3,1
11,280,60196,60184,14,0
12,224,60164,60184,11,1
13,110,60133,60184,12,1
3,812,1445,60019,13,0
4,5269,49414,59989,3,0
5,6187,37382,59926,4,0
6,5356,25351,59829,5,0
7,5972,73321,59867,6,0
8,5492,61290,59871,7,0
9,6455,49258,59842,8,0
10,5668,97226,59945,9,0
2,13117,73476,59982,10,0
11,4628,59290,59980,2,0
2,318,4946,59829,11,0
14,182,60070,59830,2,1
12,317,59883,59830,14,1
13,703,60476,59832,12,1
8,17119,48507,59801,13,0
7,1915,55914,59791,8,0
6,1435,63321,59800,7,0
5,2050,70727,59830,6,0
10,19912,61696,59835,5,0
9,1738,69102,59859,10,0
4,11569,110133,59993,9,0
3,2137,117539,60146,4,0
11,1111,60506,60147,3,0
10,235,16790,60032,11,0
12,302,60226,60033,10,1
14,122,60665,60034,12,1
13,301,59946,60034,14,1
2,9891,71039,60063,13,0
6,8546,57914,60057,2,0
7,3284,62633,60064,6,0
8,2803,67351,60083,7,0
3,17163,43758,60041,8,0
4,2582,48477,60011,3,0
5,3499,85195,60076,4,0
9,8525,72070,60106,5,0
6,2776,40632,60057,9,0
14,12,59382,60055,6,1
12,191,59695,60054,14,1
11,120,60352,60055,12,0
13,647,60039,60055,11,1
4,8175,23945,59964,13,0
10,1067,70006,59989,4,0
2,7868,67258,60007,10,0
8,696,53321,59990,2,0
7,6852,62976,59998,8,0
5,9362,46291,59964,7,0
3,9229,61601,59968,5,0
9,669,47664,59937,3,0
11,14755,59320,59936,9,0
14,96,59727,59935,11,1
12,255,59791,59935,14,1
13,233,59257,59933,12,1
9,44,15383,59824,13,0
6,706,60977,59827,9,0
3,1813,18571,59726,6,0
10,6274,58852,59724,3,0
7,1009,44445,59687,10,0
4,33111,94039,59770,7,0
8,7506,91914,59848,4,0
5,1806,77506,59890,8,0
2,685,95101,59975,5,0
11,6376,59914,59975,2,0
14,377,60195,59975,11,1
12,66,60006,59975,14,1
13,329,60102,59976,12,1
9,723,60781,59978,13,0
4,28390,46258,59945,9,0
3,5512,92164,60021,4,0
8,2369,46633,59990,3,0
2,1929,46071,59957,8,0
7,3360,92539,60033,2,0
6,4810,106445,60142,7,0
5,5426,60352,60143,6,0
10,3036,106820,60251,5,0
12,3968,59852,60250,10,1
11,338,60633,60251,12,0
14,35,60291,60251,11,1
13,174,60070,60251,14,1
7,971,18758,60155,13,0
8,6929,30976,60088,7,0
9,7894,75141,60123,8,0
10,7105,27414,60048,9,0
2,1618,45664,60015,10,0
3,7921,57883,60010,2,0
4,6706,70101,60033,3,0
5,7625,54320,60020,4,0
6,6793,66539,60035,5,0
14,5770,59506,60034,6,1
11,436,59977,60034,14,0
9,316,44290,59998,11,0
4,131,21071,59911,9,0
12,58,60820,59913,4,1
13,391,60664,59915,12,1
10,6368,44133,59880,13,0
5,651,20914,59793,10,0
8,16662,76445,59830,5,0
3,1319,53226,59815,8,0
6,16656,48758,59791,3,0
7,7253,108602,59898,6,0
2,326,85382,59954,7,0
11,9314,59445,59953,2,0
14,471,60352,59954,11,1
12,3,59414,59953,14,1
13,360,59383,59952,12,1
4,832,60664,59953,13,0
3,6480,41695,59914,4,0
7,3784,21570,59831,3,0
2,1483,22727,59750,7,0
6,4296,34602,59696,2,0
10,4587,74477,59728,6,0
5,1807,75633,59762,10,0
9,4274,87506,59822,5,0
8,5294,68539,59840,9,0
11,26868,60539,59842,8,0
13,22,59727,59841,11,1
12,46,60133,59842,13,1
14,184,60320,59843,12,1
2,5817,53195,59829,14,0
7,486,55164,59819,2,0
4,6955,72383,59846,7,0
9,680,46352,59817,4,0
5,17350,67976,59834,9,0
10,162,69945,59856,5,0
6,17038,91570,59922,10,0
8,7150,82758,59969,6,0
3,508,108791,60071,8,0
11,3360,59758,60070,3,0
14,408,59914,60070,11,1
13,51,60195,60070,14,1
12,328,60477,60071,13,1
9,13965,60320,60071,12,0
8,1982,20602,59990,9,0
7,2946,72883,60017,8,0
6,2466,33164,59962,7,0
5,3082,53446,59949,6,0
4,2250,73726,59977,5,0
3,3168,34006,59924,4,0
2,1956,86291,59977,3,0
10,7381,68039,59994,2,0
11,19619,59602,59993,10,0
4,71,32195,59937,11,0
14,368,59633,59936,4,1
12,691,59945,59936,14,1
13,17,60290,59937,12,1
2,1359,29506,59876,13,0
9,11558,58914,59874,2,0
5,1101,49539,59854,9,0
3,2731,46852,59828,5,0
10,10743,48258,59805,3,0
6,788,66883,59819,10,0
7,14878,84227,59867,6,0
8,14397,101570,59949,7,0
14,1713,59976,59949,8,1
11,155,60570,59951,14,0
13,84,59507,59950,11,1
7,346,16695,59865,13,0
12,169,60039,59865,7,1
8,4697,7164,59763,12,0
9,5831,57633,59759,8,0
3,1019,54820,59749,9,0
10,4025,48102,59726,3,0
4,621,77291,59760,10,0
5,5561,67758,59776,4,0
6,4730,58226,59773,5,0
2,11205,96352,59843,6,0
12,21569,59258,59842,2,1
11,307,60164,59843,12,0
14,127,60446,59844,11,1
13,144,60351,59845,14,1
3,11125,59414,59844,13,0
10,3681,59070,59842,3,0
5,713,53601,59831,10,0
4,13344,72506,59855,5,0
6,4481,66696,59868,4,0
8,4400,92883,59930,6,0
7,14041,111790,60027,8,0
2,388,74320,60054,7,0
9,4496,105977,60141,2,0
14,2726,59539,60139,9,1
12,128,60101,60139,14,1
11,89,59883,60139,12,0
13,709,60321,60139,11,1
7,4471,13007,60052,13,0
8,5179,32227,60000,7,0
10,7499,62664,60005,8,0
3,1788,68133,60020,10,0
6,11876,57790,60016,3,0
9,12980,47445,59993,6,0
2,973,52914,59980,9,0
4,7128,83352,60023,2,0
5,5874,102570,60100,4,0
12,1505,60071,60100,5,1
11,244,60226,60101,12,0
14,315,60758,60102,11,1
13,82,59914,60101,14,1
2,4485,19633,60028,13,0
4,815,13320,59943,2,0
6,606,35007,59898,4,0
3,15594,62477,59903,6,0
8,12931,84695,59948,3,0
10,1187,78383,59981,8,0
5,14401,52165,59967,10,0
7,389,105851,60049,5,0
9,1010,67539,60062,7,0
11,7881,59696,60062,9,0
14,220,59601,60061,11,1
13,114,59633,60060,14,1
12,390,60664,60061,13,1
4,9191,63914,60068,12,0
6,543,63851,60075,4,0
8,464,35790,60032,6,0
10,1123,35726,59989,8,0
3,101,49945,59971,10,0
5,28456,49882,59954,3,0
7,328,49821,59936,5,0
2,232,95976,59999,7,0
9,715,49758,59981,2,0
11,17913,59790,59981,9,0
14,0,59570,59980,11,1
12,317,59383,59979,14,1
13,203,59976,59979,12,1
7,3034,22414,59914,13,0
9,6135,27602,59858,7,0
2,9129,37446,59819,9,0
4,5940,74633,59845,2,0
6,5731,79821,59879,4,0
8,5650,85007,59922,6,0
10,6312,90196,59974,8,0
3,9944,100039,60043,10,0
5,5644,77227,60072,3,0
11,1967,60006,60072,5,0
12,37,59726,60071,11,1
14,122,60165,60072,12,1
13,801,60446,60072,14,1
10,775,19290,60003,13,0
8,249,25851,59945,10,0
9,269,52570,59933,8,0
7,428,59133,59932,9,0
6,28216,60414,59932,7,0
5,831,33695,59888,6,0
4,1,66977,59900,5,0
2,622,73539,59923,4,0
3,296,40258,59890,2,0
11,27205,59852,59890,3,0
14,189,59882,59890,11,1
12,191,60195,59891,14,1
13,267,59539,59890,12,1
3,8249,36101,59850,13,0
5,3771,40791,59819,3,0
7,3638,73476,59842,5,0
8,3648,77821,59871,7,0
10,4436,82506,59908,8,0
2,11868,63758,59915,10,0
4,4065,68445,59929,2,0
6,3855,73132,59950,4,0
9,8388,110164,60033,6,0
11,7255,59820,60032,9,0
14,596,60227,60033,11,1
12,255,60291,60033,14,1
13,858,60882,60034,12,1
6,6125,23477,59975,13,0
5,3019,58006,59972,6,0
4,2188,32539,59927,5,0
9,15587,35883,59889,4,0
8,1919,70414,59906,9,0
7,2883,76945,59933,8,0
3,14717,99071,59996,7,0
2,1891,73601,60018,3,0
10,3883,89352,60065,2,0
14,6370,59695,60064,10,1
12,66,59506,60063,14,1
11,57,60414,60064,12,0
13,772,59477,60063,11,1
2,7423,18571,59997,13,0
9,3245,43226,59970,2,0
5,5851,66852,59981,9,0
3,5106,34664,59941,5,0
10,2430,31320,59896,3,0
6,5538,82945,59932,10,0
4,5020,82758,59968,6,0
7,8670,71039,59986,4,0
8,13211,87133,60028,7,0
11,2867,60133,60028,8,0
12,162,60352,60029,11,1
13,47,59570,60028,12,1
14,326,60791,60029,13,1
3,4112,42383,60002,14,0
5,3331,50820,59988,3,0
4,11875,44601,59964,5,0
6,3418,53039,59953,4,0
8,3338,29476,59906,6,0
7,12571,55258,59899,8,0
9,3823,91696,59948,7,0
2,5223,100164,60010,9,0
10,10382,93914,60062,2,0
11,869,59477,60061,10,0
13,896,60164,60061,11,1
12,109,60320,60062,13,1
14,59,60006,60061,12,1
2,25567,37882,60028,14,0
5,1284,79414,60057,2,0
8,162,60945,60058,5,0
6,975,65258,60066,8,0
9,1264,46790,60046,6,0
3,26580,111726,60125,9,0
4,1051,97571,60181,3,0
7,858,79102,60210,4,0
10,959,60633,60210,7,0
11,181,59945,60210,10,0
13,834,59883,60210,11,1
14,137,59852,60209,13,1
12,3,59914,60209,14,1
8,2197,35039,60171,12,0
3,3975,10195,60096,8,0
6,3063,41102,60068,3,0
9,4168,44006,60044,6,0
4,2789,19164,59983,9,0
7,3764,22070,59927,4,0
10,3866,24977,59875,7,0
2,31117,89227,59918,10,0
11,4126,60039,59919,2,0
5,64,92133,59966,11,0
12,504,59633,59966,5,1
14,184,59820,59965,12,1
13,270,60227,59966,14,1
9,14168,60852,59967,13,0
7,3365,57664,59964,9,0
5,3985,22476,59909,7,0
4,3470,68883,59922,5,0
2,3559,33695,59884,4,0
10,13633,78445,59911,2,0
8,3188,103258,59974,10,0
6,3850,100070,60032,8,0
3,8158,111291,60106,6,0
14,1768,59414,60105,3,1
11,92,60258,60106,14,0
12,287,59977,60105,11,1
13,172,59695,60105,12,1
6,1187,11664,60035,13,0
4,8332,44226,60012,6,0
10,3505,30539,59970,4,0
2,4619,48791,59954,10,0
8,3132,35102,59918,2,0
5,14994,73946,59938,8,0
3,8418,46506,59919,5,0
9,3106,92820,59966,3,0
7,7928,97383,60019,9,0
14,4361,60133,60020,7,1
11,61,60102,60020,14,0
12,630,60445,60020,11,1
13,518,60791,60021,12,1
3,748,17352,59961,13,0
5,6269,32039,59922,3,0
6,4762,71383,59938,5,0
8,6275,58070,59935,6,0
4,15369,84695,59970,8,0
7,11734,50727,59957,4,0
9,6759,65414,59965,7,0
2,2942,98006,60018,9,0
10,2133,104758,60081,2,0
11,1931,60070,60081,10,0
12,99,59539,60080,11,1
14,246,60476,60080,12,1
13,739,60006,60080,14,1
4,9208,35791,60046,13,0
2,496,14852,59984,4,0
5,1565,64258,59990,2,0
8,443,53664,59981,5,0
3,28350,99320,60035,8,0
6,437,88726,60075,3,0
9,1544,50133,60061,6,0
7,303,57195,60057,9,0
10,1241,46602,60039,7,0
11,14993,59664,60038,10,0
14,627,59946,60038,11,1
12,566,60758,60039,14,1
13,78,59851,60039,12,1
7,785,18290,59982,13,0
6,3059,23196,59932,7,0
10,15462,35570,59899,6,0
2,1367,70820,59913,10,0
9,1996,40477,59887,2,0
5,16850,88101,59925,9,0
4,2844,93006,59970,5,0
3,3762,65914,59978,4,0
8,11119,105383,60039,3,0
11,1868,60383,60040,8,0
14,283,60039,60040,11,1
12,128,59601,60039,14,1
13,298,59821,60039,12,1
9,6793,43945,60017,13,0
8,1357,10727,59951,9,0
6,163,64290,59957,8,0
5,2455,31070,59919,6,0
2,1498,51414,59907,5,0
10,24383,77164,59930,2,0
7,1822,97507,59980,10,0
4,1923,57852,59977,7,0
3,2543,56633,59973,4,0
11,16080,59726,59973,3,0
12,256,59571,59972,11,1
13,141,59414,59971,12,1
14,418,60258,59972,13,1
9,5000,58039,59969,14,0
10,6700,34883,59936,9,0
2,4867,64133,59942,10,0
3,7515,40977,59917,2,0
4,6300,49820,59904,3,0
5,7219,86665,59939,4,0
6,6387,95507,59985,5,0
7,7002,72351,60001,6,0
8,6523,109195,60065,7,0
11,1868,60196,60066,8,0
12,224,60164,60066,11,1
13,110,60133,60066,12,1
14,386,60101,60066,13,1
4,695,30414,60027,14,0
7,4515,14321,59968,4,0
10,4615,58226,59966,7,0
2,29117,82476,59995,10,0
5,4940,66382,60003,2,0
8,3820,50290,59991,5,0
3,2724,86445,60025,8,0
6,3812,70351,60038,3,0
14,4832,59070,60037,6,1
9,87,114258,60106,14,0
12,230,59883,60106,9,1
11,183,60290,60106,12,0
13,520,60476,60107,11,1
7,2034,56914,60103,13,0
2,2764,25946,60059,7,0
6,9671,20321,60009,2,0
10,9962,74696,60027,6,0
5,3088,43727,60007,10,0
9,9650,38102,59979,5,0
4,2569,99133,60028,9,0
8,9381,61507,60030,4,0
3,3756,62539,60033,8,0
11,6111,59506,60033,3,0
12,537,60226,60033,11,1
14,122,60665,60034,12,1
13,301,59946,60034,14,1
4,1269,21477,59985,13,0
3,418,8758,59921,4,0
10,24588,61790,59924,3,0
9,18,49070,59910,10,0
6,3144,74914,59929,9,0
5,331,62195,59932,6,0
2,3123,88039,59967,5,0
8,24633,68351,59977,2,0
7,197,115633,60046,8,0
14,1360,59382,60045,7,1
12,191,59695,60045,14,1
11,120,60352,60045,12,0
13,647,60039,60045,11,1
2,1110,28258,60006,13,0
4,9065,68945,60017,2,0
5,2845,43291,59996,4,0
7,8638,23976,59952,5,0
8,2148,26321,59911,7,0
10,9437,67007,59920,8,0
3,3006,94601,59962,10,0
6,10781,77632,59984,3,0
9,11888,92664,60023,6,0
11,755,60320,60024,9,0
14,96,60727,60025,11,1
12,255,60791,60026,14,1
13,233,60257,60026,12,1
4,20957,71039,60039,13,0
5,2312,70506,60052,4,0
8,1194,60914,60053,5,0
9,2581,28383,60015,8,0
2,21910,108101,60073,9,0
3,2609,75571,60091,2,0
6,1187,65977,60099,3,0
7,2096,93445,60139,6,0
10,1991,83851,60167,7,0
14,1870,59195,60166,10,1
11,623,59914,60166,14,0
12,443,60006,60166,11,1
13,329,60102,60165,12,1
8,3994,39633,60141,13,0
3,4631,17164,60090,8,0
6,3468,19445,60041,3,0
9,4575,49726,60029,6,0
4,3445,59258,60028,9,0
7,4170,29539,59992,4,0
2,3639,39070,59967,7,0
10,633,31820,59934,2,0
5,3964,69352,59945,10,0
11,26342,59633,59944,5,0
14,35,60291,59945,11,1
13,174,59070,59944,14,1
12,453,59852,59944,13,1
5,4316,31320,59910,12,0
4,3375,47101,59895,5,0
2,3373,42665,59875,4,0
10,10382,52414,59866,2,0
9,3895,68196,59876,10,0
7,3177,63758,59880,9,0
6,3591,79539,59903,7,0
3,7876,90883,59939,6,0
8,16462,111976,60000,3,0
11,2868,59977,60000,8,0
12,505,59820,60000,11,1
14,59,60506,60000,12,1
13,332,60664,60001,14,1
8,1681,5445,59938,13,0
2,3554,54382,59931,8,0
10,5133,49133,59919,2,0
4,3183,66071,59926,10,0
6,8105,49758,59914,4,0
3,4344,46226,59899,6,0
5,8019,89914,59933,3,0
7,7890,73602,59949,5,0
9,8511,85290,59978,7,0
14,8600,59352,59977,9,1
12,3,59414,59977,14,1
13,360,59383,59976,12,1
11,166,60445,59976,13,0
10,10296,59477,59976,11,0
2,23117,87727,60007,10,0
4,2253,81664,60032,2,0
6,2043,75602,60050,4,0
8,1962,97539,60092,6,0
3,9475,82695,60118,8,0
5,1957,76633,60137,3,0
7,1827,70570,60149,5,0
9,2447,64506,60154,7,0
11,4162,59539,60153,9,0
12,68,60133,60153,11,1
14,184,60320,60153,12,1
13,770,60727,60154,14,1
4,8488,33383,60124,13,0
10,12192,70945,60136,4,0
3,1696,33791,60106,10,0
7,6157,36164,60079,3,0
9,5635,39352,60056,7,0
2,879,62195,60059,9,0
6,6671,64570,60064,2,0
8,5150,67758,60072,6,0
5,8650,64976,60078,8,0
11,3218,59758,60077,5,0
14,408,59914,60077,11,1
13,51,59195,60076,14,1
12,328,60477,60077,13,1
8,947,13602,60025,12,0
7,5946,37883,60000,8,0
5,7548,18446,59955,7,0
4,5250,70726,59966,5,0
2,7124,51291,59957,4,0
9,1150,53320,59950,2,0
6,12394,58164,59948,9,0
3,13500,91006,59982,6,0
10,337,93039,60018,3,0
14,5058,59633,60018,10,1
11,561,60602,60018,14,0
12,130,59945,60018,11,1
13,17,60290,60018,12,1
3,5749,11852,59966,13,0
10,1743,13258,59915,3,0
7,8666,69227,59925,10,0
2,1201,50506,59915,7,0
9,2558,51914,59906,2,0
6,8363,47883,59893,9,0
8,3275,90570,59926,6,0
5,9463,86539,59955,8,0
4,11907,93196,59991,5,0
14,6343,59976,59991,4,1
11,155,59570,59991,14,0
12,599,60039,59991,11,1
13,485,60507,59991,12,1
10,16087,69102,60001,13,0
8,3125,48164,59988,10,0
6,3787,55226,59983,8,0
4,3709,34290,59956,6,0
2,3496,73352,59970,4,0
9,3839,74633,59986,2,0
7,3303,81695,60009,9,0
5,3923,60758,60010,7,0
3,3793,99820,60052,5,0
